title,abbrev_title
Biological psychiatry,Biol Psychiatry
The Journal of membrane biology,J Membr Biol
International journal of gynaecology and obstetrics : the official organ of the International Federation of Gynaecology and Obstetrics,Int J Gynaecol Obstet
Biology of reproduction,Biol Reprod
The Journal of pathology,J Pathol
Journal of microscopy,J Microsc
Human heredity,Hum Hered
Hormone and metabolic research = Hormon- und Stoffwechselforschung =  Hormones et métabolisme,Horm Metab Res
Journal of biosocial science,J Biosoc Sci
Pathology,Pathology
European surgical research. Europäische chirurgische Forschung.  Recherches chirurgicales européennes,Eur Surg Res
Journal of chromatographic science,J Chromatogr Sci
Acta medica Indonesiana,Acta Med Indones
British journal of pharmacology,Br J Pharmacol
Archiwum medycyny sa̧dowej i kryminologii,Arch Med Sadowej Kryminol
Scandinavian journal of gastroenterology.  Supplement,Scand J Gastroenterol Suppl
Journal of the American Animal Hospital Association,J Am Anim Hosp Assoc
The journal of extra-corporeal technology,J Extra Corpor Technol
Journal of medical microbiology,J Med Microbiol
Journal of the history of biology,J Hist Biol
Journal of applied behavior analysis,J Appl Behav Anal
Results and problems in cell differentiation,Results Probl Cell Differ
Equine veterinary journal,Equine Vet J
Handbook of clinical neurology,Handb Clin Neurol
Microvascular research,Microvasc Res
Developmental psychobiology,Dev Psychobiol
Journal of biomechanics,J Biomech
Accounts of chemical research,Acc Chem Res
Journal of learning disabilities,J Learn Disabil
FEBS letters,FEBS Lett
Lymphology,Lymphology
Pflügers Archiv : European journal of physiology,Pflugers Arch
Journal of electrocardiology,J Electrocardiol
Pharmacology,Pharmacology
"Brain, behavior and evolution",Brain Behav Evol
European neurology,Eur Neurol
Digestion,Digestion
Oecologia,Oecologia
Current problems in dermatology,Curr Probl Dermatol
TAG. Theoretical and applied genetics.  Theoretische und angewandte Genetik,Theor Appl Genet
Chemotherapy,Chemotherapy
Otolaryngologic clinics of North America,Otolaryngol Clin North Am
Quarterly reviews of biophysics,Q Rev Biophys
Annales de cardiologie et d'angéiologie,Ann Cardiol Angeiol (Paris)
Respiration; international review of thoracic diseases,Respiration
Journal of consulting and clinical psychology,J Consult Clin Psychol
Advances in colloid and interface science,Adv Colloid Interface Sci
Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],Zhonghua Yu Fang Yi Xue Za Zhi
Rehabilitación,Rehabilitacion (Madr)
Revista da Sociedade Brasileira de Medicina Tropical,Rev Soc Bras Med Trop
European journal of pharmacology,Eur J Pharmacol
Journal of communication disorders,J Commun Disord
Revista da Escola de Enfermagem da U S P,Rev Esc Enferm USP
Environmental science & technology,Environ Sci Technol
Environmental research,Environ Res
Problemy ėndokrinologii,Probl Endokrinol (Mosk)
The Australasian journal of dermatology,Australas J Dermatol
Oncology,Oncology
Revista de saúde pública,Rev Saude Publica
Clinical biochemistry,Clin Biochem
Biochemical genetics,Biochem Genet
Advances in experimental medicine and biology,Adv Exp Med Biol
Canadian family physician Médecin de famille canadien,Can Fam Physician
Annual review of genetics,Annu Rev Genet
Advances in microbial physiology,Adv Microb Physiol
Journal of virology,J Virol
Laboratory animals,Lab Anim
The Australian and New Zealand journal of psychiatry,Aust N Z J Psychiatry
Current topics in microbiology and immunology,Curr Top Microbiol Immunol
Molekuliarnaia biologiia,Mol Biol (Mosk)
Water research,Water Res
Caries research,Caries Res
Psychiatria polska,Psychiatr Pol
Mathematical biosciences,Math Biosci
Journal of health and social behavior,J Health Soc Behav
Advances in psychosomatic medicine,Adv Psychosom Med
Neurologia i neurochirurgia polska,Neurol Neurochir Pol
Pediatric research,Pediatr Res
Cardiovascular research,Cardiovasc Res
The Journal of general virology,J Gen Virol
Progress in nuclear magnetic resonance spectroscopy,Prog Nucl Magn Reson Spectrosc
Mikrochimica acta,Mikrochim Acta
Mikrobiyoloji bülteni,Mikrobiyol Bul
Current topics in developmental biology,Curr Top Dev Biol
Physiology & behavior,Physiol Behav
International journal of psychology : Journal international de psychologie,Int J Psychol
Psychopharmacology bulletin,Psychopharmacol Bull
Progress in neurological surgery,Prog Neurol Surg
Bulletin du cancer,Bull Cancer
Chemistry and physics of lipids,Chem Phys Lipids
Folia parasitologica,Folia Parasitol (Praha)
Lipids,Lipids
Scandinavian journal of gastroenterology,Scand J Gastroenterol
Clinical and experimental immunology,Clin Exp Immunol
Journal of periodontal research,J Periodontal Res
Seminars in roentgenology,Semin Roentgenol
Health services research,Health Serv Res
Journal of pediatric surgery,J Pediatr Surg
Journal of cell science,J Cell Sci
Texas medicine,Tex Med
Journal of cellular physiology,J Cell Physiol
Multivariate behavioral research,Multivariate Behav Res
Bulletin of environmental contamination and toxicology,Bull Environ Contam Toxicol
Brain research,Brain Res
Investigative radiology,Invest Radiol
Canadian journal of ophthalmology. Journal canadien d'ophtalmologie,Can J Ophthalmol
Anesthesia progress,Anesth Prog
Experimental brain research,Exp Brain Res
Journal of colloid and interface science,J Colloid Interface Sci
International journal of cancer,Int J Cancer
The Nursing clinics of North America,Nurs Clin North Am
Journal of phycology,J Phycol
American journal of epidemiology,Am J Epidemiol
Annali dell'Istituto superiore di sanità,Ann Ist Super Sanita
Journal of the history of the behavioral sciences,J Hist Behav Sci
Journal of comparative pathology,J Comp Pathol
The Annals of thoracic surgery,Ann Thorac Surg
Journal of sex research,J Sex Res
Clio medica : acta Academiae Internationalis Historiae Medicinae,Clio Med
Československá patologie,Cesk Patol
Advances in surgery,Adv Surg
Recent results in cancer research. Fortschritte der Krebsforschung.  Progrès dans les recherches sur le cancer,Recent Results Cancer Res
Carbohydrate research,Carbohydr Res
Essays in biochemistry,Essays Biochem
Neuroendocrinology,Neuroendocrinology
Molecular pharmacology,Mol Pharmacol
Journal of abnormal psychology,J Abnorm Psychol
Läkartidningen,Lakartidningen
Psychotherapy and psychosomatics,Psychother Psychosom
Journal of public health dentistry,J Public Health Dent
Journal of personality and social psychology,J Pers Soc Psychol
Journal of invertebrate pathology,J Invertebr Pathol
Gastrointestinal endoscopy,Gastrointest Endosc
Diabetologia,Diabetologia
Cutis,Cutis
Community mental health journal,Community Ment Health J
The British journal of mathematical and statistical psychology,Br J Math Stat Psychol
Nihon Ronen Igakkai zasshi. Japanese journal of geriatrics,Nihon Ronen Igakkai Zasshi
"Doklady biological sciences : proceedings of the Academy of Sciences of the USSR,  Biological sciences sections",Dokl Biol Sci
Mayo Clinic proceedings,Mayo Clin Proc
Seminars in hematology,Semin Hematol
Mutation research,Mutat Res
Journal of the neurological sciences,J Neurol Sci
Journal of medical entomology,J Med Entomol
Canadian journal of physiology and pharmacology,Can J Physiol Pharmacol
Current problems in surgery,Curr Probl Surg
Kaku igaku. The Japanese journal of nuclear medicine,Kaku Igaku
Journal of experimental child psychology,J Exp Child Psychol
Journal of medical genetics,J Med Genet
Indian pediatrics,Indian Pediatr
Nephron,Nephron
Demography,Demography
Psychophysiology,Psychophysiology
Cortex; a journal devoted to the study of the nervous system and behavior,Cortex
Arquivos de gastroenterologia,Arq Gastroenterol
Experimental gerontology,Exp Gerontol
Neurology India,Neurol India
Physical therapy,Phys Ther
Journal of music therapy,J Music Ther
IEEE transactions on bio-medical engineering,IEEE Trans Biomed Eng
Cryobiology,Cryobiology
Ground water,Ground Water
Journal of medicinal chemistry,J Med Chem
Studies in family planning,Stud Fam Plann
Plastic and reconstructive surgery,Plast Reconstr Surg
"Vital and health statistics. Ser. 1, Programs and collection procedures",Vital Health Stat 1
Steroids,Steroids
Radiologic technology,Radiol Technol
Progress in biophysics and molecular biology,Prog Biophys Mol Biol
Psychoanalytic review,Psychoanal Rev
Perspectives in psychiatric care,Perspect Psychiatr Care
International journal of nursing studies,Int J Nurs Stud
Progress in brain research,Prog Brain Res
Biopolymers,Biopolymers
Behaviour research and therapy,Behav Res Ther
AORN journal,AORN J
Annual review of phytopathology,Annu Rev Phytopathol
Folia primatologica; international journal of primatology,Folia Primatol (Basel)
Advances in parasitology,Adv Parasitol
Advances in marine biology,Adv Mar Biol
Advances in child development and behavior,Adv Child Dev Behav
Industrial health,Ind Health
South African journal of surgery. Suid-Afrikaanse tydskrif vir chirurgie,S Afr J Surg
The British journal of psychiatry : the journal of mental science,Br J Psychiatry
Psychotherapy,Psychotherapy (Chic)
"Vital and health statistics. Series 2, Data evaluation and methods research",Vital Health Stat 2
Le Mali médical,Mali Med
Medical care,Med Care
"Inquiry : a journal of medical care organization, provision and financing",Inquiry
Transplantation,Transplantation
Radiologic clinics of North America,Radiol Clin North Am
Indian journal of cancer,Indian J Cancer
Drug and therapeutics bulletin,Drug Ther Bull
Clinical orthopaedics and related research,Clin Orthop Relat Res
Australian occupational therapy journal,Aust Occup Ther J
Ultrasonics,Ultrasonics
Journal of school psychology,J Sch Psychol
JNMA; journal of the Nepal Medical Association,JNMA J Nepal Med Assoc
Zeitschrift für Gastroenterologie,Z Gastroenterol
Neuropsychologia,Neuropsychologia
Klinische Monatsblätter für Augenheilkunde,Klin Monbl Augenheilkd
Acta orthopaedica et traumatologica turcica,Acta Orthop Traumatol Turc
The Journal of nursing education,J Nurs Educ
Biotechnology and bioengineering,Biotechnol Bioeng
Toxicon : official journal of the International Society on Toxinology,Toxicon
Die Rehabilitation,Rehabilitation (Stuttg)
Nederlands tijdschrift voor tandheelkunde,Ned Tijdschr Tandheelkd
Family process,Fam Process
Photochemistry and photobiology,Photochem Photobiol
The Journal of cell biology,J Cell Biol
ISA transactions,ISA Trans
Clinical pediatrics,Clin Pediatr (Phila)
Biorheology,Biorheology
International anesthesiology clinics,Int Anesthesiol Clin
Experimental and molecular pathology,Exp Mol Pathol
Biochemistry,Biochemistry
Angewandte Chemie,Angew Chem Int Ed Engl
Inorganic chemistry,Inorg Chem
Applied optics,Appl Opt
Methods of information in medicine,Methods Inf Med
History of science,Hist Sci
British journal for the history of science,Br J Hist Sci
Archivum immunologiae et therapiae experimentalis,Arch Immunol Ther Exp (Warsz)
Ghana medical journal,Ghana Med J
Developmental medicine and child neurology,Dev Med Child Neurol
Vision research,Vision Res
Transfusion,Transfusion
Acta neuropathologica,Acta Neuropathol
Therapeutische Umschau.  Revue thérapeutique,Ther Umsch
Der Radiologe,Radiologe
Nursing forum,Nurs Forum
Progress in medicinal chemistry,Prog Med Chem
Kardiologiia,Kardiologiia
Journal of theoretical biology,J Theor Biol
The Journal of surgical research,J Surg Res
The Journal of sports medicine and physical fitness,J Sports Med Phys Fitness
Journal of psychiatric research,J Psychiatr Res
The Gerontologist,Gerontologist
International ophthalmology clinics,Int Ophthalmol Clin
International journal of biometeorology,Int J Biometeorol
General and comparative endocrinology,Gen Comp Endocrinol
Experimental eye research,Exp Eye Res
Advances in immunology,Adv Immunol
Acta psychiatrica Scandinavica. Supplementum,Acta Psychiatr Scand Suppl
Acta psychiatrica Scandinavica,Acta Psychiatr Scand
Acta neurologica Scandinavica,Acta Neurol Scand
Journal of religion and health,J Relig Health
Journal of pharmaceutical sciences,J Pharm Sci
Headache,Headache
Phytochemistry,Phytochemistry
Anais brasileiros de dermatologia,An Bras Dermatol
Journal of food science,J Food Sci
The Australian & New Zealand journal of obstetrics & gynaecology,Aust N Z J Obstet Gynaecol
Wiadomości lekarskie : organ Polskiego Towarzystwa Lekarskiego,Wiad Lek
The Chinese journal of physiology,Chin J Physiol
Zhonghua yi xue za zhi,Zhonghua Yi Xue Za Zhi
The Bulletin of Tokyo Dental College,Bull Tokyo Dent Coll
JAMA,JAMA
Clinical radiology,Clin Radiol
Rivista di psichiatria,Riv Psichiatr
Rinshō shinkeigaku = Clinical neurology,Rinsho Shinkeigaku
Yonsei medical journal,Yonsei Med J
Singapore medical journal,Singapore Med J
Scandinavian journal of psychology,Scand J Psychol
Research in veterinary science,Res Vet Sci
"Medicine, science, and the law",Med Sci Law
Journal of radiation research,J Radiat Res
"Journal of child psychology and psychiatry, and allied disciplines",J Child Psychol Psychiatry
Clinical pharmacology and therapeutics,Clin Pharmacol Ther
Comprehensive psychiatry,Compr Psychiatry
Biophysical journal,Biophys J
Analytical biochemistry,Anal Biochem
NTM,NTM
Gut,Gut
[Rinshō ketsueki] The Japanese journal of clinical hematology,Rinsho Ketsueki
Der Internist,Internist (Berl)
"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",J Nucl Med
The Journal of small animal practice,J Small Anim Pract
Shokuhin eiseigaku zasshi. Journal of the Food Hygienic Society of Japan,Shokuhin Eiseigaku Zasshi
Radiología,Radiologia
British poultry science,Br Poult Sci
The Journal of cardiovascular surgery,J Cardiovasc Surg (Torino)
The Canadian veterinary journal = La revue vétérinaire canadienne,Can Vet J
Plant & cell physiology,Plant Cell Physiol
Revista do Instituto de Medicina Tropical de São Paulo,Rev Inst Med Trop Sao Paulo
Panminerva medica,Panminerva Med
Toxicology and applied pharmacology,Toxicol Appl Pharmacol
Salud pública de México,Salud Publica Mex
Neurologia medico-chirurgica,Neurol Med Chir (Tokyo)
Technology and culture,Technol Cult
Folia microbiologica,Folia Microbiol (Praha)
Journal of lipid research,J Lipid Res
The Journal of thoracic and cardiovascular surgery,J Thorac Cardiovasc Surg
